"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"acpA_1",26933.9524659169,-5.77235855165202,0.124997874861169,-46.1796535186154,0,0
"lacC_2",17149.6949952994,-5.74538603583412,0.140688231248715,-40.8377160252811,0,0
"lacS",1565.85128593712,-5.73637814216201,0.248953516534935,-23.0419647089301,1.77075127448845e-117,1.89197048925209e-116
"fabD",32757.4128601789,-5.53079991658253,0.105279411048988,-52.5344876217913,0,0
"fabG_1",35639.2154574719,-5.49371092906941,0.0984254714978714,-55.8159472895004,0,0
"fabZ_1",16739.3181863971,-5.44870455635554,0.118034917133374,-46.1618026994397,0,0
"fruA_2",15615.7551119294,-5.37771330152621,0.108636393050247,-49.5019500420902,0,0
"fabF",38736.8325601221,-5.28402701734189,0.103980365544981,-50.8175460785054,0,0
"glcR_1",10542.8785099847,-5.2542983022558,0.121196976317007,-43.3533777980771,0,0
"accB",23077.040913507,-5.2404617311129,0.114454828390537,-45.7862879600995,0,0
"cfiB_1",53702.6101503683,-5.17881730335486,0.0930290707197547,-55.6688061407791,0,0
"yfmO_2",18.2071435722909,-4.98463418178832,1.67166470825008,-2.98183849739,0.00286523104492276,0.00413924484892653
"accA",26767.9729161678,-4.93977466496468,0.0964155945956973,-51.2341876402754,0,0
"accD",26955.6691528862,-4.91398850240363,0.0946890680718271,-51.8960488519762,0,0
"treP_2",4419.40084632379,-4.90524677690854,0.149008529142302,-32.9192349266402,1.16635535810565e-237,3.09472955017365e-236
"ahpC",5755.01826762028,-4.71156237761003,0.133536467073483,-35.2829641285727,1.0718361107698e-272,3.21955299687833e-271
"yvdD",3555.01281239624,-4.67225480341857,0.145813937018741,-32.0425804209514,2.78524903489593e-225,6.71835827811261e-224
"ddc",9743.34864793345,-4.59918446414527,0.108500320355192,-42.3886717485178,0,0
"ahpF",18385.2033158784,-4.55348115958194,0.11105734376924,-41.0011711521155,0,0
"gmk_2",844.828331029602,-4.54367134358189,0.23713155479309,-19.1609731043449,7.83938296456198e-82,5.97143429645104e-81
"fabH",39865.7787842442,-4.48170209294999,0.0958329045134932,-46.7657963170569,0,0
"marR",20381.4568418905,-4.41078317478848,0.0954919879134816,-46.1900864267772,0,0
"emrB",1755.50937327088,-4.3890236902469,0.178582166338143,-24.5770548103686,2.22276611390006e-133,2.7645653541632e-132
"gadC_1",3325.66505561546,-4.08093299656818,0.136861767360335,-29.8179182928694,2.28861091441136e-195,4.7940375996617e-194
"DNPH1",5680.02816291455,-4.04970992436248,0.116915970652265,-34.6377821761174,6.82323874697802e-263,1.93974930092661e-261
"rplM",57682.0998812562,-3.85690995968298,0.102429038806727,-37.6544581948149,0,0
"ydfK",206.376622865491,-3.82879988369505,0.395705771397133,-9.67587576541168,3.81808534523188e-22,1.15339504167157e-21
"hrtA_1",70.7664160290932,-3.68864400109693,0.650911128586673,-5.6668934346016,1.45409713543496e-08,2.83691499952507e-08
"gph_1",13047.2394966271,-3.61544268885127,0.101745301415566,-35.5342471696502,1.45505836570215e-276,4.45471715038043e-275
"nhaC_3",310.680209322264,-3.60871835794968,0.325970028216515,-11.0707060329875,1.74024090907132e-28,6.25386800731724e-28
"fabI",13325.3733132978,-3.586608203168,0.113450110750456,-31.6139682847651,2.37322913959044e-219,5.39740112889712e-218
"prmC_1",7885.92784962584,-3.41627792435154,0.114901635851248,-29.7321957084603,2.946527445839e-194,6.09204116074765e-193
"sigH",90.3097535750672,-3.38929964796476,0.549499212531714,-6.16797908107857,6.91682919998031e-10,1.42637203191304e-09
"bcr",399.651603657817,-3.25400092955232,0.300164079261914,-10.8407406294375,2.20677222237531e-27,7.72127775389338e-27
"fabZ_2",8354.84328537847,-3.21990078198576,0.102753159713727,-31.3362702515085,1.49674835666213e-215,3.35608927296635e-214
"nhaC_4",368.470296222017,-3.21202303732214,0.273718161041145,-11.7347823217302,8.45435526719216e-32,3.25104675975119e-31
"nupC",3545.18582748995,-3.10440903889846,0.125320979607892,-24.7716627224877,1.81164590066808e-135,2.32591957569644e-134
