Assembly	pilon_pacbio_illumina_combined_genome
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	7
# contigs (>= 10000 bp)	7
# contigs (>= 25000 bp)	5
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	3143327
Total length (>= 1000 bp)	3143327
Total length (>= 5000 bp)	3138937
Total length (>= 10000 bp)	3138937
Total length (>= 25000 bp)	3110386
Total length (>= 50000 bp)	3000076
# contigs	8
Largest contig	2773702
Total length	3143327
Reference length	2765010
GC (%)	37.78
Reference GC (%)	38.11
N50	2773702
NG50	2773702
N75	2773702
NG75	2773702
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	2773702
# local misassemblies	0
# unaligned mis. contigs	1
# unaligned contigs	5 + 2 part
Unaligned length	325157
Genome fraction (%)	100.000
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.22
Largest alignment	2195416
Total aligned length	2818171
NA50	2195416
NGA50	2195416
NA75	578286
NGA75	2195416
LA50	1
LGA50	1
LA75	2
LGA75	1
