All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Enterococci.contigs
# misassemblies              1                  
    # relocations            1                  
    # translocations         0                  
    # inversions             0                  
# misassembled contigs       1                  
Misassembled contigs length  2773588            
# local misassemblies        0                  
# unaligned mis. contigs     1                  
# mismatches                 1                  
# indels                     121                
    # indels (<= 5 bp)       121                
    # indels (> 5 bp)        0                  
Indels length                123                
